                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.4072,                 0.8137,                 1.1008,                 0.7175,                0.65618,                 0.7231,                0.40033,                 1.4678,                0.85234,                 1.1301,               0.007723,               0.007723,               0.007723
                     48,                 1.4028,                0.80976,                 1.0943,                0.70739,                0.66375,                0.71997,                0.39764,                 1.4555,                0.85815,                 1.1155,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4024,                0.81706,                 1.0966,                0.71241,                0.66471,                0.73187,                0.40436,                 1.4498,                0.86281,                 1.1136,               0.007624,               0.007624,               0.007624
                     50,                 1.4009,                0.81075,                 1.0937,                0.71804,                0.66308,                 0.7294,                0.40447,                 1.4533,                0.85106,                 1.1149,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.396,                0.80247,                 1.0943,                0.71663,                0.66327,                0.72814,                0.40065,                 1.4582,                0.84473,                  1.111,               0.007525,               0.007525,               0.007525
                     52,                 1.3924,                0.80111,                  1.089,                0.70807,                0.65512,                0.71398,                0.39596,                  1.469,                0.84727,                 1.1185,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.3944,                0.80083,                 1.0861,                0.70731,                0.66299,                0.72238,                0.40114,                  1.452,                0.83999,                 1.1079,               0.007426,               0.007426,               0.007426
                     54,                 1.3959,                0.80469,                 1.0936,                0.72208,                0.66061,                0.72638,                0.39934,                 1.4565,                0.83934,                 1.1163,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3938,                0.79816,                 1.0857,                0.71462,                0.66696,                0.72522,                0.40459,                 1.4474,                0.84671,                 1.1194,               0.007327,               0.007327,               0.007327
                     56,                 1.3882,                0.80244,                 1.0883,                0.70928,                0.66129,                0.72379,                0.40104,                 1.4446,                0.84256,                 1.1097,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3937,                0.80078,                 1.0894,                0.71776,                 0.6653,                 0.7255,                0.39743,                 1.4651,                0.84975,                 1.1235,               0.007228,               0.007228,               0.007228
                     58,                 1.3917,                0.79952,                 1.0874,                0.71488,                0.65926,                 0.7213,                0.39854,                 1.4517,                0.84913,                 1.1094,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3776,                0.78978,                 1.0817,                  0.723,                0.66836,                 0.7348,                0.41015,                  1.434,                 0.8323,                 1.1051,               0.007129,               0.007129,               0.007129
                     60,                 1.3763,                0.78422,                 1.0823,                0.72535,                0.66162,                0.73123,                0.40844,                  1.437,                0.82962,                 1.1042,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3748,                0.79349,                 1.0809,                0.72473,                 0.6629,                 0.7327,                0.40687,                 1.4438,                0.83281,                 1.1032,                0.00703,                0.00703,                0.00703
                     62,                 1.3784,                0.78699,                 1.0767,                0.71638,                0.66493,                0.73029,                0.40495,                 1.4357,                0.84589,                 1.0942,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3772,                0.78419,                 1.0782,                0.71915,                  0.667,                0.73202,                0.40488,                 1.4508,                 0.8382,                 1.1124,               0.006931,               0.006931,               0.006931
                     64,                 1.3732,                0.78225,                 1.0802,                0.72484,                 0.6685,                 0.7352,                0.41067,                 1.4393,                0.82331,                 1.1042,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3668,                0.78264,                 1.0733,                0.71502,                 0.6676,                0.73121,                0.40606,                 1.4334,                0.84029,                  1.101,               0.006832,               0.006832,               0.006832
                     66,                 1.3734,                0.78436,                 1.0743,                0.71664,                0.67356,                0.73339,                0.41058,                 1.4363,                0.82286,                 1.0971,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3623,                0.77515,                 1.0751,                0.72735,                0.67387,                0.73809,                0.41045,                 1.4417,                0.81902,                 1.1007,               0.006733,               0.006733,               0.006733
                     68,                 1.3629,                 0.7734,                 1.0768,                0.71715,                0.66261,                0.72683,                0.40538,                 1.4445,                0.83461,                  1.105,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3669,                0.78114,                 1.0717,                0.72292,                0.67254,                0.73708,                0.41079,                 1.4368,                0.82224,                 1.0993,               0.006634,               0.006634,               0.006634
                     70,                 1.3577,                0.76971,                  1.068,                0.72517,                0.66503,                0.73483,                0.40948,                 1.4353,                 0.8271,                 1.0982,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3606,                0.77464,                 1.0688,                0.72006,                0.66359,                 0.7311,                0.40695,                 1.4383,                0.82219,                 1.1008,               0.006535,               0.006535,               0.006535
                     72,                 1.3521,                0.76992,                  1.069,                0.72684,                0.68049,                  0.744,                0.41549,                 1.4311,                0.81488,                 1.1024,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3546,                0.76693,                 1.0697,                0.73256,                0.67745,                0.74553,                0.41625,                 1.4308,                0.80771,                 1.1017,               0.006436,               0.006436,               0.006436
                     74,                 1.3548,                 0.7673,                 1.0647,                0.72083,                0.67628,                0.73794,                0.41015,                 1.4372,                0.82214,                 1.1033,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.3601,                0.76626,                 1.0671,                0.72704,                0.66927,                0.73579,                0.41086,                 1.4345,                0.81431,                 1.0986,               0.006337,               0.006337,               0.006337
                     76,                 1.3491,                0.76714,                 1.0644,                0.71597,                0.68754,                0.74231,                0.41398,                 1.4296,                0.80865,                 1.0972,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.3562,                0.76293,                  1.066,                0.73162,                0.67559,                 0.7414,                0.41111,                 1.4438,                0.81104,                 1.1023,               0.006238,               0.006238,               0.006238
                     78,                 1.3437,                0.75995,                 1.0667,                0.72757,                0.67431,                0.74136,                0.41357,                 1.4356,                0.81861,                 1.0968,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.3511,                0.76428,                 1.0655,                0.72307,                0.66754,                0.73388,                0.40701,                 1.4365,                0.81965,                 1.1029,               0.006139,               0.006139,               0.006139
                     80,                 1.3475,                0.75995,                 1.0636,                 0.7267,                0.67596,                0.73951,                0.41341,                 1.4326,                0.80952,                 1.0916,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.3438,                0.75792,                 1.0587,                0.72584,                0.67879,                0.74097,                0.41274,                 1.4305,                0.80727,                 1.0967,                0.00604,                0.00604,                0.00604
                     82,                 1.3479,                0.75759,                 1.0632,                0.71938,                0.67761,                0.73839,                 0.4086,                 1.4402,                0.80908,                 1.0999,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.3415,                0.75548,                 1.0607,                0.72203,                0.67816,                0.73813,                0.41065,                 1.4385,                0.80951,                 1.1006,               0.005941,               0.005941,               0.005941
                     84,                 1.3413,                0.75494,                 1.0625,                0.71559,                0.67996,                 0.7378,                 0.4107,                 1.4342,                0.80661,                 1.0954,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.3382,                 0.7546,                  1.055,                 0.7273,                0.67894,                0.74271,                0.41366,                  1.431,                0.79397,                 1.0946,               0.005842,               0.005842,               0.005842
                     86,                 1.3294,                0.74523,                  1.055,                 0.7194,                0.67884,                0.73901,                0.41201,                 1.4248,                 0.8074,                 1.0929,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.3393,                0.75236,                 1.0567,                0.71511,                0.67783,                0.73659,                0.41103,                 1.4255,                0.80439,                 1.0938,               0.005743,               0.005743,               0.005743
                     88,                 1.3326,                0.74704,                 1.0551,                0.72168,                0.67601,                0.74089,                 0.4131,                  1.428,                0.80339,                  1.093,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.3281,                0.74238,                 1.0569,                0.72445,                0.68129,                0.74259,                0.41559,                 1.4233,                0.80019,                 1.0951,               0.005644,               0.005644,               0.005644
                     90,                 1.3346,                0.74578,                 1.0538,                0.72648,                0.68071,                0.74093,                0.41444,                  1.422,                0.80011,                 1.0973,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.3135,                 0.7364,                 1.0495,                0.72646,                0.67889,                0.74163,                 0.4146,                 1.4181,                0.79794,                 1.0923,               0.005545,               0.005545,               0.005545
                     92,                 1.3255,                 0.7412,                 1.0501,                 0.7343,                0.67932,                0.74788,                0.41798,                  1.421,                0.79261,                 1.0929,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.3265,                 0.7425,                 1.0499,                0.72653,                0.68369,                0.74509,                0.41707,                 1.4219,                0.78907,                 1.0923,               0.005446,               0.005446,               0.005446
                     94,                 1.3237,                0.74105,                 1.0501,                0.72361,                0.67975,                 0.7439,                0.41507,                 1.4226,                0.79518,                 1.0892,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.3162,                  0.738,                 1.0451,                0.72245,                0.68497,                0.74274,                0.41683,                 1.4173,                0.79394,                 1.0867,               0.005347,               0.005347,               0.005347
                     96,                 1.3191,                0.73725,                 1.0463,                0.71797,                0.69089,                0.74537,                0.41602,                 1.4222,                 0.7911,                 1.0921,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.3154,                0.73697,                 1.0437,                0.72414,                  0.681,                0.74472,                0.41642,                 1.4203,                 0.7938,                 1.0891,               0.005248,               0.005248,               0.005248
                     98,                 1.3187,                0.73534,                 1.0445,                0.72496,                0.68634,                0.74646,                0.41757,                  1.417,                0.79144,                 1.0904,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3108,                0.73149,                  1.046,                0.72183,                 0.6838,                0.74396,                0.41611,                  1.419,                0.79061,                 1.0902,               0.005149,               0.005149,               0.005149
                    100,                  1.322,                0.73605,                 1.0499,                0.72443,                0.68199,                0.74252,                0.41543,                 1.4219,                0.79383,                 1.0904,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.3069,                0.72913,                 1.0436,                0.72966,                0.68295,                0.74532,                0.41725,                 1.4186,                0.78972,                 1.0908,                0.00505,                0.00505,                0.00505
                    102,                 1.3046,                0.72807,                 1.0457,                0.72275,                0.68545,                0.74511,                0.41594,                 1.4239,                0.78678,                 1.0895,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.3107,                0.73126,                 1.0475,                0.72297,                0.68508,                 0.7446,                0.41619,                 1.4196,                0.78723,                  1.088,               0.004951,               0.004951,               0.004951
                    104,                 1.3032,                0.72384,                 1.0395,                0.72226,                0.68892,                0.74675,                0.41762,                 1.4181,                0.78574,                 1.0863,              0.0049015,              0.0049015,              0.0049015
                    105,                  1.305,                0.72721,                 1.0423,                0.72559,                0.68428,                 0.7451,                0.41686,                  1.422,                0.78373,                 1.0898,               0.004852,               0.004852,               0.004852
                    106,                 1.3036,                0.72312,                 1.0421,                0.72391,                0.68566,                0.74692,                0.41756,                  1.414,                0.77933,                 1.0862,              0.0048025,              0.0048025,              0.0048025
                    107,                  1.303,                0.72712,                 1.0379,                0.73063,                0.68145,                0.74761,                0.41891,                 1.4109,                0.78174,                 1.0847,               0.004753,               0.004753,               0.004753
                    108,                    1.3,                0.72573,                 1.0382,                0.72421,                0.68588,                0.74645,                0.41807,                 1.4137,                0.78271,                 1.0849,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.2868,                0.71469,                 1.0326,                0.72389,                0.68964,                0.74628,                0.41844,                 1.4147,                0.77912,                 1.0844,               0.004654,               0.004654,               0.004654
                    110,                 1.2883,                0.71787,                 1.0365,                0.72087,                0.68595,                0.74564,                0.41747,                 1.4141,                0.78221,                 1.0861,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.2916,                0.71612,                 1.0383,                0.72425,                0.68908,                0.74649,                0.41688,                 1.4191,                0.78209,                 1.0865,               0.004555,               0.004555,               0.004555
                    112,                 1.2954,                0.71817,                 1.0371,                0.73027,                0.68474,                0.74829,                0.41929,                 1.4156,                0.77972,                 1.0852,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.3019,                0.72356,                 1.0311,                0.72414,                0.68694,                0.74667,                0.41836,                 1.4165,                 0.7837,                 1.0834,               0.004456,               0.004456,               0.004456
                    114,                 1.2914,                0.71186,                 1.0334,                0.72671,                0.68247,                0.74486,                0.41762,                 1.4171,                0.78258,                 1.0855,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.2784,                0.70796,                 1.0333,                0.72913,                0.68358,                0.74776,                0.41795,                 1.4179,                0.77943,                 1.0861,               0.004357,               0.004357,               0.004357
                    116,                 1.2886,                0.71323,                 1.0318,                 0.7325,                0.67929,                0.74767,                0.41813,                 1.4123,                0.77949,                 1.0828,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.2917,                0.71591,                 1.0312,                0.72791,                0.68055,                0.74485,                0.41699,                 1.4132,                0.78061,                 1.0835,               0.004258,               0.004258,               0.004258
                    118,                 1.2879,                0.71556,                 1.0338,                0.72278,                0.68694,                0.74578,                0.41772,                 1.4131,                0.77891,                 1.0852,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.2757,                0.70659,                  1.035,                0.72818,                0.68054,                0.74489,                0.41749,                 1.4135,                0.77893,                 1.0851,               0.004159,               0.004159,               0.004159
                    120,                 1.2772,                0.70727,                 1.0307,                  0.729,                0.68263,                0.74571,                0.41854,                 1.4092,                0.77909,                 1.0856,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.2786,                0.70233,                 1.0291,                 0.7278,                0.68444,                0.74621,                0.41856,                 1.4115,                0.77912,                 1.0843,                0.00406,                0.00406,                0.00406
                    122,                 1.2816,                0.70991,                 1.0271,                0.72468,                0.69041,                0.74749,                0.41972,                 1.4085,                0.77667,                 1.0817,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.2673,                0.70042,                 1.0249,                0.72741,                0.68273,                0.74683,                0.41884,                 1.4115,                0.77783,                 1.0822,               0.003961,               0.003961,               0.003961
                    124,                 1.2754,                0.70034,                 1.0253,                0.72794,                0.68406,                0.74729,                0.41998,                 1.4094,                 0.7743,                 1.0824,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.2748,                 0.6997,                 1.0271,                0.72551,                0.68673,                0.74771,                0.41998,                 1.4087,                0.77686,                 1.0821,               0.003862,               0.003862,               0.003862
                    126,                 1.2705,                0.69914,                 1.0267,                0.72194,                0.68588,                0.74598,                0.41642,                 1.4161,                0.78067,                 1.0864,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.2719,                0.69673,                 1.0236,                 0.7286,                0.68344,                0.74599,                0.41709,                 1.4154,                0.77678,                 1.0858,               0.003763,               0.003763,               0.003763
                    128,                 1.2719,                 0.6982,                 1.0274,                0.73016,                0.68423,                0.74666,                0.41786,                  1.415,                0.77796,                 1.0854,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.2623,                0.69369,                 1.0218,                0.72623,                0.68674,                0.74678,                0.41842,                 1.4133,                0.77553,                 1.0845,               0.003664,               0.003664,               0.003664
                    130,                 1.2637,                0.68956,                 1.0238,                 0.7311,                0.68268,                0.74745,                0.41895,                 1.4124,                0.77421,                 1.0833,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.2629,                0.69729,                 1.0202,                0.73589,                0.68018,                0.74693,                 0.4194,                 1.4093,                0.77446,                 1.0821,               0.003565,               0.003565,               0.003565
                    132,                  1.254,                0.68792,                 1.0221,                0.73147,                0.68646,                0.74795,                 0.4201,                 1.4047,                0.77209,                 1.0812,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.2709,                 0.7008,                 1.0224,                0.72853,                0.68849,                0.74824,                0.42092,                 1.4049,                0.76997,                 1.0826,               0.003466,               0.003466,               0.003466
                    134,                   1.26,                0.68869,                 1.0198,                0.72436,                 0.6914,                0.74792,                0.42077,                 1.4073,                0.76964,                  1.084,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.2603,                0.69457,                 1.0228,                 0.7244,                0.68988,                0.74923,                 0.4221,                 1.4057,                0.76808,                 1.0824,               0.003367,               0.003367,               0.003367
                    136,                 1.2636,                 0.6886,                 1.0233,                0.72969,                 0.6862,                 0.7491,                0.42089,                 1.4069,                0.76804,                 1.0822,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.2645,                0.68973,                  1.018,                0.72755,                0.68722,                0.74839,                0.41952,                 1.4088,                 0.7678,                 1.0811,               0.003268,               0.003268,               0.003268
                    138,                 1.2567,                0.68383,                 1.0197,                0.72444,                0.68817,                0.74766,                0.41961,                 1.4082,                0.77038,                 1.0811,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.2477,                0.68254,                 1.0138,                0.72243,                0.69128,                0.74846,                0.41912,                 1.4085,                0.76925,                 1.0811,               0.003169,               0.003169,               0.003169
                    140,                 1.2481,                0.68351,                 1.0187,                0.72104,                0.69627,                0.74901,                0.41961,                 1.4081,                0.76843,                 1.0824,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.2551,                0.68417,                 1.0124,                0.72416,                0.69036,                0.74907,                0.41952,                 1.4071,                0.76722,                 1.0824,                0.00307,                0.00307,                0.00307
                    142,                 1.2442,                0.68369,                 1.0139,                0.72661,                0.69048,                0.74987,                0.42021,                 1.4067,                 0.7665,                 1.0833,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.2452,                0.67834,                 1.0148,                0.72486,                0.69426,                0.75045,                0.42015,                 1.4062,                 0.7665,                 1.0827,               0.002971,               0.002971,               0.002971
                    144,                 1.2429,                0.68124,                 1.0134,                0.72515,                0.69372,                0.75101,                0.42079,                 1.4037,                0.76434,                 1.0816,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.2423,                0.67932,                 1.0114,                0.72741,                0.69085,                0.75014,                0.42046,                 1.4048,                0.76481,                 1.0814,               0.002872,               0.002872,               0.002872
                    146,                 1.2448,                0.67968,                 1.0128,                0.72595,                0.68905,                0.74975,                0.42054,                  1.406,                0.76518,                 1.0814,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.2455,                0.68099,                 1.0152,                0.72535,                0.68838,                0.74997,                0.42087,                 1.4045,                0.76555,                 1.0805,               0.002773,               0.002773,               0.002773
                    148,                 1.2426,                0.67781,                 1.0164,                0.72239,                0.68977,                0.74915,                 0.4213,                 1.4046,                0.76552,                 1.0815,              0.0027235,              0.0027235,              0.0027235
